Gradient,Count,total,Percent,gradient_id
0 - 3 %,1542,2104,73,3
03 - 5 %,260,2104,12,5
05 - 8 %,139,2104,7,8
08 - 15 %,127,2104,6,15
15 - 22 %,19,2104,1,22
22+ %,17,2104,1,99
